instnm,sub_pref,course,course_title,academic_year
Texas A&M University-Kingsville,HIST,4380,CRUCIAL TOPICS U.S. HISTORY,2024
Texas A&M University-Kingsville,HIST,4346,TEXAS HISTORY,2024
Texas A&M University-Kingsville,HIST,4338,UNITED STATES SINCE 1945,2024
Texas A&M University-Kingsville,HIST,4305,HISTORY INTERNSHIP,2024
Texas A&M University-Kingsville,HIST,3301,METHODS OF HIST RESEARCH,2024
Texas A&M University-Kingsville,HIST,2322,WORLD HISTORY SINCE 1500,2024
Texas A&M University-Kingsville,HIST,2321,WORLD HISTORY TO 1500,2024
Texas A&M University-Kingsville,MEEN,3392,FLUID MECHANICS,2024
Texas A&M University-Kingsville,ITEN,4352,QUALITY ASSURANCE,2024
Texas A&M University-Kingsville,MEEN,1310,ENGINEERING GRAPHICS I,2024
Texas A&M University-Kingsville,MATH,4390,SELECTED TOPICS IN MATHEMATICS,2024
Texas A&M University-Kingsville,MATH,4341,LINEAR ALG AND MATRIX THEORY,2024
Texas A&M University-Kingsville,MATH,3415,CALCULUS III,2024
Texas A&M University-Kingsville,MATH,3360,MODERN GEOMETRY,2024
Texas A&M University-Kingsville,MATH,3325,INTRO MATHEMATICAL PROOFS (WI),2024
Texas A&M University-Kingsville,MATH,3320,DIFFERENTIAL EQUATIONS,2024
Texas A&M University-Kingsville,MATH,2414,CALCULUS II,2024
Texas A&M University-Kingsville,MEEN,3360,ENGINEERING DESIGN & SIM,2024
Texas A&M University-Kingsville,MEEN,3352,KINEMATICS OF MACHINES,2024
Texas A&M University-Kingsville,MEEN,3350,MACHINE DESIGN I,2024
Texas A&M University-Kingsville,MEEN,3349,FUNDAMENTALS OF MFG PROCESSES,2024
Texas A&M University-Kingsville,MEEN,3348,HEAT TRANSFER,2024
Texas A&M University-Kingsville,MEEN,3347,THERMODYNAMICS,2024
Texas A&M University-Kingsville,MEEN,3344,MATERIALS SCIENCE,2024
Texas A&M University-Kingsville,MEEN,3145,MATERIAL SCIENCE LABORATORY,2024
Texas A&M University-Kingsville,MEEN,2355,STATICS AND DYNAMICS,2024
Texas A&M University-Kingsville,MEEN,2302,MECHANICS II DYNAMICS,2024
Texas A&M University-Kingsville,MEEN,2301,MECHANICS I STATICS,2024
